NeighborhoodTown,TotalEnrolled,TotalDiagnosed,TotalDiagnosedandMedicated,WomenEnrolled,WomenDiagnosed,WomenDiagnosedMedicated,MenEnrolled,MenDiagnosed,MenDiagnosedMedicated
Stanton Heights,1301,198,113,750,115,58,551,83,55
Upper Lawrenceville,1170,112,70,653,65,38,517,47,32
Morningside,1960,202,121,1081,106,61,879,96,60
Garfield,633,52,33,370,35,23,263,17,10
Garfield,844,87,58,501,52,38,343,35,20
Stanton Heights,1589,195,119,894,108,72,695,87,47
Bluff,614,38,34,276,21,19,338,17,15
Highland Park,2160,160,95,1194,78,47,966,82,48
Highland Park,1576,98,64,869,58,36,707,40,28
East Liberty,1339,109,69,784,61,35,555,48,34
Garfield,749,55,36,406,41,26,343,14,10
East Liberty,1764,204,124,1056,137,82,708,67,42
Lincoln Lemington Belmar,894,95,63,544,62,40,350,33,23
Larimer,441,46,27,254,27,16,187,19,11
Homewood West,417,53,30,242,37,17,175,16,13
Larimer,396,51,24,236,37,17,160,14,7
Homewood North,1148,109,65,712,68,34,436,41,31
Homewood North,662,86,52,413,59,37,249,27,15
Homewood South,750,88,49,443,57,29,307,31,20
Homewood South,631,70,40,375,43,26,256,27,14
East Hills,2040,200,120,1238,125,72,802,75,48
Squirrel Hill North,1490,86,44,777,37,14,713,49,30
Squirrel Hill North,1011,45,22,517,20,12,494,25,10
Squirrel Hill North,2072,133,60,1097,72,30,975,61,30
Point Breeze,1572,68,40,813,33,19,759,35,21
Point Breeze North,992,99,56,562,53,28,430,46,28
Point Breeze,1959,126,70,1059,71,33,900,55,37
Squirrel Hill South,2887,175,92,1491,80,41,1396,95,51
Regen Square,608,43,22,337,24,11,271,19,11
Swisshelm Park,879,84,52,464,42,25,415,42,27
Squirrel Hill South,2472,210,77,1312,111,35,1160,99,42
Squirrel Hill South,3333,284,139,1746,148,57,1587,136,82
Greenfield,1463,147,84,784,72,40,679,75,44
Greenfield,2820,276,167,1521,158,93,1299,118,74
Southside Slopes,1218,102,64,636,60,31,582,42,33
Southside Flats,1004,120,65,543,75,35,461,45,30
Southside Flats,1408,115,58,713,69,32,695,46,26
Southside Slopes,798,69,43,412,39,23,386,30,20
Allentown,1313,111,80,765,75,52,548,36,28
Mount Washington,1037,121,69,561,69,41,476,52,28
Mount Washington,900,82,49,514,44,23,386,38,26
Duquesne Heights,1224,128,64,657,60,25,567,68,39
Mount Washington,1223,143,85,660,81,43,563,62,42
Mount Washington,994,102,77,529,52,40,465,50,37
Beechview,2283,227,160,1206,119,85,1077,108,75
Brookline,1937,195,119,1059,115,69,878,80,50
Brookline,3111,322,191,1744,180,107,1367,142,84
Brookline,1207,84,43,658,47,22,549,37,21
Beechview,1937,216,131,1034,117,70,903,99,61
Central Business District,5438,330,210,2759,172,98,2679,158,112
Sheraden,1512,166,106,846,99,56,666,67,50
Banksville,2099,259,140,1151,149,66,948,110,74
Strip District,382,17,7,191,9,2,191,8,5
Manchester,1108,146,94,644,89,62,464,57,32
Central Northside,789,68,51,394,35,25,395,33,26
Troy Hill,1433,141,84,719,69,37,714,72,47
Spring Garden,515,69,47,279,36,28,236,33,19
Central Northside,642,45,28,335,27,16,307,18,12
California-Kirkbride,441,31,21,263,17,12,178,14,9
Fineview,758,67,46,462,36,24,296,31,22
Perry North,1225,108,73,657,56,35,568,52,38
Perry North,992,95,61,535,59,34,457,36,27
Northview Heights,1191,66,38,694,42,22,497,24,16
Summer Hill,648,88,49,344,50,28,304,38,21
Perry South,1361,154,91,777,106,56,584,48,35
Perry South,833,88,60,483,53,34,350,35,26
Spring Hill-City View,1381,171,95,803,90,47,578,81,48
Brighton Heights,1406,151,90,805,89,46,601,62,44
Brighton Heights,1004,91,53,556,53,29,448,38,24
Marshall-Shadeland,629,66,44,348,43,30,281,23,14
Brighton Heights,1653,227,111,925,127,57,728,100,54
Marshall-Shadeland,1853,186,116,1026,99,63,827,87,53
Crafton Heights,1606,139,88,915,84,42,691,55,46
Crafton Heights,796,96,60,446,52,32,350,44,28
Carrick,1311,120,77,708,61,39,603,59,38
Carrick,2580,267,152,1421,158,80,1159,109,72
Carrick,2404,226,143,1350,118,78,1054,108,65
Knoxville,2190,248,158,1268,158,98,922,90,60
